,NAME,PUBLIC STREAM,GENRES
254,Exclusively Post Malone,https://streaming.exclusive.radio/er/postmalone/icecast.audio,hip-hop|rap|trap
255,Exclusively Pretenders,https://streaming.exclusive.radio/er/pretenders/icecast.audio,rock|new wave|80s
256,Exclusively Prince,https://streaming.exclusive.radio/er/prince/icecast.audio,funk|pop|soul
257,Exclusively Pussycat Dolls,https://streaming.exclusive.radio/er/pussycatdolls/icecast.audio,pop|rnb|dance
258,Exclusively Queen,https://streaming.exclusive.radio/er/queen/icecast.audio,classic rock|rock|hard rock
259,Exclusively R.E.M.,https://streaming.exclusive.radio/er/rem/icecast.audio,rock|alternative rock|alternative
260,Exclusively Ramones,https://streaming.exclusive.radio/er/ramones/icecast.audio,punk|punk rock|70s
261,Exclusively Randy Travis,https://streaming.exclusive.radio/er/randytravis/icecast.audio,country|randy travis|classic country
262,Exclusively Ray Charles,https://streaming.exclusive.radio/er/raycharles/icecast.audio,jazz|soul|blues
263,Exclusively Reba McEntire,https://streaming.exclusive.radio/er/rebamcentire/icecast.audio,country|female vocalists|reba mcentire
264,Exclusively Red Hot Chili Peppers,https://streaming.exclusive.radio/er/chilipeppers/icecast.audio,rock|alternative rock|funk rock
265,Exclusively Rihanna,https://streaming.exclusive.radio/er/rihanna/icecast.audio,pop|rnb|female vocalists
266,Exclusively Rita Ora,https://streaming.exclusive.radio/er/ritaora/icecast.audio,pop|dance|female vocalists
267,Exclusively Robert Cray,https://streaming.exclusive.radio/er/robertcray/icecast.audio,blues|blues rock|soul
268,Exclusively Robert Palmer,https://streaming.exclusive.radio/er/robertpalmer/icecast.audio,rock|80s|classic rock
269,Exclusively Rock N Roll Party,https://streaming.exclusive.radio/er/rocknrollparty/icecast.audio,
270,Exclusively Rod Stewart,https://streaming.exclusive.radio/er/rodstewart/icecast.audio,classic rock|rock|soft rock
271,Exclusively Rolling Stones,https://streaming.exclusive.radio/er/rollingstones/icecast.audio,classic rock|rock|british
272,Exclusively Rory Gallagher,https://streaming.exclusive.radio/er/rorygallagher/icecast.audio,blues rock|blues|classic rock
273,Exclusively Roxette,https://streaming.exclusive.radio/er/roxette/icecast.audio,pop|80s|rock
274,Exclusively Roy Orbison,https://streaming.exclusive.radio/er/royorbison/icecast.audio,classic rock|rockabilly|60s
275,Exclusively Run-DMC,https://streaming.exclusive.radio/er/rundmc/icecast.audio,hip-hop|rap|old school
276,Exclusively Rush,https://streaming.exclusive.radio/er/rush/icecast.audio,progressive rock|classic rock|hard rock
277,Exclusively Sade,https://streaming.exclusive.radio/er/sade/icecast.audio,soul|jazz|female vocalists
278,Exclusively Sam Cooke,https://streaming.exclusive.radio/er/samcooke/icecast.audio,soul|rhythm and blues|gospel
279,Exclusively Sam Smith,https://streaming.exclusive.radio/er/samsmith/icecast.audio,soul|pop|british
280,Exclusively Santana,https://streaming.exclusive.radio/er/santana/icecast.audio,rock|classic rock|latin
281,Exclusively Savage Garden,https://streaming.exclusive.radio/er/savagegarden/icecast.audio,pop|90s|australian
282,Exclusively Scorpions,https://streaming.exclusive.radio/er/scorpions/icecast.audio,hard rock|classic rock|heavy metal
283,Exclusively Shakira,https://streaming.exclusive.radio/er/shakira/icecast.audio,pop|latin|female vocalists
284,Exclusively Shania Twain,https://streaming.exclusive.radio/er/shaniatwain/icecast.audio,country|pop|female vocalists
285,Exclusively Shawn Mendes,https://streaming.exclusive.radio/er/shawnmendes/icecast.audio,pop|canadian|folk
286,Exclusively Sheryl Crow,https://streaming.exclusive.radio/er/sherylcrow/icecast.audio,female vocalists|rock|pop
287,Exclusively Sia,https://streaming.exclusive.radio/er/sia/icecast.audio,female vocalists|indie|chillout
288,Exclusively Simon & Garfunkel (Incl PSimon),https://streaming.exclusive.radio/er/simongarfunkle/icecast.audio,
289,Exclusively Simple Minds,https://streaming.exclusive.radio/er/simpleminds/icecast.audio,new wave|80s|rock
290,Exclusively Small Faces,https://streaming.exclusive.radio/er/smallfaces/icecast.audio,60s|mod|classic rock
291,Exclusively Smokey Robinson,https://streaming.exclusive.radio/er/smokeyrobinson/icecast.audio,soul|motown|rhythm and blues
292,Exclusively Snow Patrol,https://streaming.exclusive.radio/er/snowpatrol/icecast.audio,indie|alternative|rock
293,Exclusively Spandau Ballet,https://streaming.exclusive.radio/er/spandauballet/icecast.audio,new wave|80s|pop
294,Exclusively Steeleye Span,https://streaming.exclusive.radio/er/steeleyespan/icecast.audio,folk|folk rock|british folk
295,Exclusively Steely Dan,https://streaming.exclusive.radio/er/steelydan/icecast.audio,jazz rock|classic rock|rock
296,Exclusively Steve Winwood,https://streaming.exclusive.radio/er/stevewinwood/icecast.audio,classic rock|rock|80s
297,Exclusively Stevie Ray Vaughan,https://streaming.exclusive.radio/er/stevierayvaughan/icecast.audio,blues|blues rock|classic rock
298,Exclusively Stevie Wonder,https://streaming.exclusive.radio/er/steviewonder/icecast.audio,soul|funk|motown
299,Exclusively Sting,https://streaming.exclusive.radio/er/sting/icecast.audio,rock|pop|classic rock
300,Exclusively Stone Temple Pilots,https://streaming.exclusive.radio/er/stonetemplepilots/icecast.audio,grunge|alternative rock|rock
301,Exclusively Supertramp,https://streaming.exclusive.radio/er/supertramp/icecast.audio,progressive rock|classic rock|rock
302,Exclusively Suzanne Vega,https://streaming.exclusive.radio/er/suzannevega/icecast.audio,female vocalists|singer-songwriter|folk
303,Exclusively Take That,https://streaming.exclusive.radio/er/takethat/icecast.audio,pop|british|britpop
304,Exclusively Talking Heads,https://streaming.exclusive.radio/er/talkingheads/icecast.audio,new wave|post-punk|80s
305,Exclusively Tammy Wynette,https://streaming.exclusive.radio/er/tammywynette/icecast.audio,country|classic country|female vocalists
306,Exclusively Taylor Swift,https://streaming.exclusive.radio/er/taylorswift/icecast.audio,country|pop|female vocalists
307,Exclusively Tears For Fears,https://streaming.exclusive.radio/er/tearsforfears/icecast.audio,new wave|80s|synth pop
308,Exclusively Texas,https://streaming.exclusive.radio/er/texas/icecast.audio,pop|rock|female vocalists
309,Exclusively The 1975,https://streaming.exclusive.radio/er/the1975/icecast.audio,indie|indie rock|british
310,Exclusively The Allman Brothers Band,https://streaming.exclusive.radio/er/allmanbrothers/icecast.audio,southern rock|blues rock|classic rock
311,Exclusively The B-52's,https://streaming.exclusive.radio/er/theb52s/icecast.audio,new wave|80s|pop
312,Exclusively The Band,https://streaming.exclusive.radio/er/theband/icecast.audio,classic rock|folk rock|rock
313,Exclusively The Beatles,https://streaming.exclusive.radio/er/beatles/icecast.audio,classic rock|rock|british
314,Exclusively The Bee Gees,https://streaming.exclusive.radio/er/beegees/icecast.audio,disco|pop|70s
315,Exclusively the Black Crowes,https://streaming.exclusive.radio/er/theblackcrowes/icecast.audio,southern rock|blues rock|rock
316,Exclusively The Byrds,https://streaming.exclusive.radio/er/thebyrds/icecast.audio,classic rock|60s|psychedelic
317,Exclusively The Cars,https://streaming.exclusive.radio/er/thecars/icecast.audio,new wave|80s|rock
318,Exclusively The Clash,https://streaming.exclusive.radio/er/theclash/icecast.audio,punk|punk rock|british
319,Exclusively The Cure,https://streaming.exclusive.radio/er/thecure/icecast.audio,post-punk|new wave|alternative
320,Exclusively The Doors,https://streaming.exclusive.radio/er/doors/icecast.audio,classic rock|psychedelic rock|rock
321,Exclusively The Drifters,https://streaming.exclusive.radio/er/drifters/icecast.audio,soul|oldies|60s
322,Exclusively The Dubliners,https://streaming.exclusive.radio/er/thedubliners/icecast.audio,folk|irish|irish folk
323,Exclusively The Everly Brothers,https://streaming.exclusive.radio/er/everlybrothers/icecast.audio,oldies|60s|rock n roll
324,Exclusively The Human League,https://streaming.exclusive.radio/er/humanleague/icecast.audio,new wave|synthpop|80s
325,Exclusively The Killers,https://streaming.exclusive.radio/er/thekillers/icecast.audio,indie|indie rock|rock
326,Exclusively The Kinks,https://streaming.exclusive.radio/er/thekinks/icecast.audio,classic rock|60s|rock
327,Exclusively The Mavericks,https://streaming.exclusive.radio/er/themavericks/icecast.audio,country|rockabilly|alt-country
328,Exclusively The Monkees,https://streaming.exclusive.radio/er/themonkees/icecast.audio,60s|classic rock|pop
329,Exclusively The Moody Blues,https://streaming.exclusive.radio/er/moodyblues/icecast.audio,progressive rock|classic rock|rock
330,Exclusively The Police,https://streaming.exclusive.radio/er/police/icecast.audio,rock|new wave|classic rock
331,Exclusively The Steve Miller Band,https://streaming.exclusive.radio/er/stevemillerband/icecast.audio,classic rock|rock|70s
332,Exclusively The Temptations,https://streaming.exclusive.radio/er/thetemptations/icecast.audio,soul|motown|funk
333,Exclusively The Velvet Underground,https://streaming.exclusive.radio/er/velvetunderground/icecast.audio,psychedelic|rock|classic rock
334,Exclusively The Weeknd,https://streaming.exclusive.radio/er/theweeknd/icecast.audio,rnb|electronic|dubstep
335,Exclusively The Who,https://streaming.exclusive.radio/er/thewho/icecast.audio,classic rock|rock|british
336,Exclusively The Yardbirds,https://streaming.exclusive.radio/er/theyardbirds/icecast.audio,classic rock|blues rock|60s
337,Exclusively Thin Lizzy,https://streaming.exclusive.radio/er/thinlizzy/icecast.audio,hard rock|classic rock|rock
338,Exclusively Tim McGraw,https://streaming.exclusive.radio/er/timmcgraw/icecast.audio,country|tim mcgraw|modern country
339,Exclusively Tina Turner,https://streaming.exclusive.radio/er/tinaturner/icecast.audio,pop|soul|rock
340,Exclusively Toby Keith,https://streaming.exclusive.radio/er/tobykeith/icecast.audio,country|toby keith|male country
341,Exclusively Tom Jones,https://streaming.exclusive.radio/er/tomjones/icecast.audio,pop|oldies|classic rock
342,Exclusively Tom Petty,https://streaming.exclusive.radio/er/tompetty/icecast.audio,classic rock|rock|singer-songwriter
343,Exclusively Tom Waits,https://streaming.exclusive.radio/er/tomwaits/icecast.audio,blues|singer-songwriter|experimental
344,Exclusively Tony Bennett,https://streaming.exclusive.radio/er/tonybennett/icecast.audio,jazz|swing|oldies
345,Exclusively Toots & The Maytals,https://streaming.exclusive.radio/er/tootsandthemaytals/icecast.audio,reggae|ska|rocksteady
346,Exclusively Toto,https://streaming.exclusive.radio/er/toto/icecast.audio,rock|classic rock|80s
347,Exclusively Travis Scott,https://streaming.exclusive.radio/er/travisscott/icecast.audio,hip-hop|trap|rap
348,Exclusively T-Rex,https://streaming.exclusive.radio/er/trex/icecast.audio,glam rock|classic rock|rock
349,Exclusively Twenty One Pilots,https://streaming.exclusive.radio/er/twentyonepilots/icecast.audio,electronic|alternative|rap
350,Exclusively U2,https://streaming.exclusive.radio/er/u2/icecast.audio,rock|classic rock|irish
351,Exclusively UB40,https://streaming.exclusive.radio/er/ub40/icecast.audio,reggae|80s|ska
352,Exclusively Van Halen,https://streaming.exclusive.radio/er/vanhalen/icecast.audio,hard rock|classic rock|rock
353,Exclusively Van Morrison,https://streaming.exclusive.radio/er/vanmorrison/icecast.audio,singer-songwriter|classic rock|folk
354,Exclusively Waylon Jennings,https://streaming.exclusive.radio/er/waylonjennings/icecast.audio,country|outlaw country|classic country
355,Exclusively Wham,https://streaming.exclusive.radio/er/wham/icecast.audio,pop|80s|new wave
356,Exclusively Whitesnake,https://streaming.exclusive.radio/er/whitesnake/icecast.audio,hard rock|classic rock|80s
357,Exclusively Whitney Houston,https://streaming.exclusive.radio/er/whitneyhouston/icecast.audio,pop|soul|female vocalists
358,Exclusively Willie Nelson,https://streaming.exclusive.radio/er/willienelson/icecast.audio,country|folk|singer-songwriter
359,Exclusively Yes,https://streaming.exclusive.radio/er/yes/icecast.audio,progressive rock|classic rock|rock
360,Exclusively ZZ Top,https://streaming.exclusive.radio/er/zztop/icecast.audio,blues rock|classic rock|hard rock
